Niveau;Matière;Chapitre;Titre chapitre;Leçon;Titre leçon;Questions générées;Définitions sources;Quiz flash validés;Q/R notes
1A;ADOC;Ch.1;Comprendre l’ADOC et l’unité commerciale omnicanale;1.1;Comprendre le rôle de l’ADOC et les canaux de vente;10;5;0;6
1A;ADOC;Ch.1;Comprendre l’ADOC et l’unité commerciale omnicanale;1.2;Analyser un parcours client omnicanal;10;6;0;7
1A;ADOC;Ch.1;Comprendre l’ADOC et l’unité commerciale omnicanale;1.3;S’entraîner à décider dans une unité commerciale omnicanale;10;6;0;7
1A;ADOC;Ch.2;Analyser le marché, l’environnement et les tendances;2.1;Comprendre le marché et ses composantes;10;3;0;5
1A;ADOC;Ch.2;Analyser le marché, l’environnement et les tendances;2.2;Analyser l’environnement et construire un diagnostic;10;4;0;9
1A;ADOC;Ch.2;Analyser le marché, l’environnement et les tendances;2.3;Transformer le diagnostic en décision commerciale;10;6;0;7
1A;ADOC;Ch.3;Comprendre la demande, segmenter et construire un persona;3.1;Comprendre besoins, motivations et freins;10;6;0;5
1A;ADOC;Ch.3;Comprendre la demande, segmenter et construire un persona;3.2;Segmenter, cibler et construire un persona;10;7;0;9
1A;ADOC;Ch.3;Comprendre la demande, segmenter et construire un persona;3.3;Adapter l’offre à une cible et justifier ses choix;10;8;0;7
1A;ADOC;Ch.4;Analyser l’offre concurrente et construire un benchmark;4.1;Identifier l’offre et les concurrents;10;6;0;5
1A;ADOC;Ch.4;Analyser l’offre concurrente et construire un benchmark;4.2;Construire un benchmark pertinent;10;5;0;9
1A;ADOC;Ch.4;Analyser l’offre concurrente et construire un benchmark;4.3;Interpréter les écarts et recommander un positionnement;10;5;0;7
1A;ADOC;Ch.5;Formes de commerce, réseaux et stratégies de distribution;5.1;Distinguer les formes de commerce;10;2;0;5
1A;ADOC;Ch.5;Formes de commerce, réseaux et stratégies de distribution;5.2;Comprendre les réseaux de distribution;10;7;0;9
1A;ADOC;Ch.5;Formes de commerce, réseaux et stratégies de distribution;5.3;Choisir et justifier une stratégie de distribution;10;7;0;7
1A;ADOC;Ch.6;Canaux, circuits, logistique et disponibilité de l’offre;6.1;Comprendre canaux et circuits de distribution;10;4;0;5
1A;ADOC;Ch.6;Canaux, circuits, logistique et disponibilité de l’offre;6.2;Relier logistique, stock et disponibilité de l’offre;10;5;0;8
1A;ADOC;Ch.6;Canaux, circuits, logistique et disponibilité de l’offre;6.3;Choisir un circuit et traiter les ruptures;10;5;0;7
1A;ADOC;Ch.7;Construire l’offre : gamme, assortiment, produits et services;7.1;Comprendre gamme, largeur et profondeur;10;7;0;5
1A;ADOC;Ch.7;Construire l’offre : gamme, assortiment, produits et services;7.2;Construire un assortiment cohérent;10;10;0;9
1A;ADOC;Ch.7;Construire l’offre : gamme, assortiment, produits et services;7.3;Articuler produits, services et attentes clients;10;9;0;7
1A;ADOC;Ch.8;Marque, packaging, qualité, droit des marques et signes de qualité;8.1;Comprendre la marque et son identité;10;5;0;5
1A;ADOC;Ch.8;Marque, packaging, qualité, droit des marques et signes de qualité;8.2;Lire le packaging et les signes de qualité;10;4;0;9
1A;ADOC;Ch.8;Marque, packaging, qualité, droit des marques et signes de qualité;8.3;Protéger la marque et respecter le cadre juridique;10;4;0;7
1A;ADOC;Ch.9;Marchandisage : rendre l’espace vendeur;9.1;Comprendre les principes du marchandisage;10;5;0;5
1A;ADOC;Ch.9;Marchandisage : rendre l’espace vendeur;9.2;Maîtriser zoning, linéaire et facing;10;6;0;9
1A;ADOC;Ch.9;Marchandisage : rendre l’espace vendeur;9.3;Analyser et améliorer la performance de l’espace vendeur;10;6;0;7
1A;ADOC;Ch.10;Maintenir un espace opérationnel, attractif, sûr et conforme;10.1;Rendre l’espace disponible et attractif;10;3;0;5
1A;ADOC;Ch.10;Maintenir un espace opérationnel, attractif, sûr et conforme;10.2;Garantir sécurité et conformité;10;3;0;9
1A;ADOC;Ch.10;Maintenir un espace opérationnel, attractif, sûr et conforme;10.3;Maintenir l’espace et décider des actions correctives;10;3;0;7
1A;ADOC;Ch.11;Animations et promotions : créer du trafic sans détruire la marge;11.1;Comprendre les objectifs et mécaniques promotionnelles;10;4;0;5
1A;ADOC;Ch.11;Animations et promotions : créer du trafic sans détruire la marge;11.2;Concevoir une animation commerciale;10;7;0;9
1A;ADOC;Ch.11;Animations et promotions : créer du trafic sans détruire la marge;11.3;Mesurer rentabilité, risques et efficacité de la promotion;10;6;0;7
1A;ADOC;Ch.12;Communication locale, digitale et réglementation;12.1;Maîtriser la communication locale et sur le lieu de vente;10;3;0;5
1A;ADOC;Ch.12;Communication locale, digitale et réglementation;12.2;Comprendre les leviers de communication digitale;10;4;0;8
1A;ADOC;Ch.12;Communication locale, digitale et réglementation;12.3;Respecter la réglementation et mesurer l’efficacité;10;4;0;7
1A;ADOC;Ch.13;Projet terrain ADOC : diagnostic, action et première fiche E6;13.1;Réaliser un diagnostic terrain;10;2;0;5
1A;ADOC;Ch.13;Projet terrain ADOC : diagnostic, action et première fiche E6;13.2;Concevoir et piloter une action ADOC;10;3;0;9
1A;ADOC;Ch.13;Projet terrain ADOC : diagnostic, action et première fiche E6;13.3;Construire sa première situation et fiche E6;10;3;0;8
2A;ADOC;Ch.1;Réactivation ADOC et exigences E6/U6;1.1;Réactiver les compétences ADOC essentielles;10;2;0;6
2A;ADOC;Ch.1;Réactivation ADOC et exigences E6/U6;1.2;Comprendre précisément le dossier E6;10;3;0;7
2A;ADOC;Ch.1;Réactivation ADOC et exigences E6/U6;1.3;Construire preuves, argumentation et réflexes d’oral;10;3;0;7
2A;ADOC;Ch.2;Adapter l’offre localement sans sortir de la politique d’enseigne;2.1;Comprendre la politique d’enseigne;10;6;0;5
2A;ADOC;Ch.2;Adapter l’offre localement sans sortir de la politique d’enseigne;2.2;Adapter l’offre au contexte local;10;4;0;8
2A;ADOC;Ch.2;Adapter l’offre localement sans sortir de la politique d’enseigne;2.3;Justifier une adaptation sans sortir du cadre de l’enseigne;10;4;0;7
2A;ADOC;Ch.3;Relations producteurs/distributeurs, fournisseurs, contrats et urbanisme commercial;3.1;Comprendre les relations producteurs-distributeurs;10;4;0;5
2A;ADOC;Ch.3;Relations producteurs/distributeurs, fournisseurs, contrats et urbanisme commercial;3.2;Maîtriser fournisseurs, contrats et négociation;10;5;0;8
2A;ADOC;Ch.3;Relations producteurs/distributeurs, fournisseurs, contrats et urbanisme commercial;3.3;Intégrer urbanisme commercial et contraintes de distribution;10;6;0;7
2A;ADOC;Ch.4;Merchandising avancé physique et e-merchandising;4.1;Optimiser le merchandising en magasin;10;7;0;5
2A;ADOC;Ch.4;Merchandising avancé physique et e-merchandising;4.2;Maîtriser les principes de l’e-merchandising;10;5;0;8
2A;ADOC;Ch.4;Merchandising avancé physique et e-merchandising;4.3;Créer une cohérence physique-digitale et améliorer l’implantation;10;5;0;7
2A;ADOC;Ch.5;Mesurer la performance d’une implantation;5.1;Choisir les bons indicateurs d’implantation;10;6;0;5
2A;ADOC;Ch.5;Mesurer la performance d’une implantation;5.2;Calculer et interpréter la performance du linéaire;10;4;0;9
2A;ADOC;Ch.5;Mesurer la performance d’une implantation;5.3;Diagnostiquer et corriger une implantation;10;4;0;7
2A;ADOC;Ch.6;Concevoir une animation commerciale omnicanale;6.1;Définir objectifs, cible et concept d’animation;10;4;0;5
2A;ADOC;Ch.6;Concevoir une animation commerciale omnicanale;6.2;Construire un dispositif omnicanal cohérent;10;9;0;8
2A;ADOC;Ch.6;Concevoir une animation commerciale omnicanale;6.3;Planifier, piloter et mesurer l’animation;10;7;0;7
2A;ADOC;Ch.7;Piloter une promotion sans casser la rentabilité;7.1;Comprendre les mécaniques de promotion;10;3;0;5
2A;ADOC;Ch.7;Piloter une promotion sans casser la rentabilité;7.2;Calculer marge, volume et seuil de rentabilité;10;6;0;8
2A;ADOC;Ch.7;Piloter une promotion sans casser la rentabilité;7.3;Décider de maintenir, corriger ou arrêter une promotion;10;2;0;7
2A;ADOC;Ch.8;Communication sur le lieu de vente et communication externe locale;8.1;Maîtriser la communication sur le lieu de vente;10;5;0;5
2A;ADOC;Ch.8;Communication sur le lieu de vente et communication externe locale;8.2;Construire une communication externe locale;10;5;0;8
2A;ADOC;Ch.8;Communication sur le lieu de vente et communication externe locale;8.3;Assurer cohérence du message, de la cible et de la mesure;10;5;0;7
2A;ADOC;Ch.9;Communication digitale, réseaux sociaux, avis et géolocalisation;9.1;Piloter réseaux sociaux et contenus;10;5;0;5
2A;ADOC;Ch.9;Communication digitale, réseaux sociaux, avis et géolocalisation;9.2;Gérer avis, e-réputation et géolocalisation;10;5;0;8
2A;ADOC;Ch.9;Communication digitale, réseaux sociaux, avis et géolocalisation;9.3;Mesurer la performance digitale et décider;10;4;0;7
2A;ADOC;Ch.10;Gestion de projet ADOC : planning, budget, risques et preuves;10.1;Cadrer un projet ADOC;10;2;0;5
2A;ADOC;Ch.10;Gestion de projet ADOC : planning, budget, risques et preuves;10.2;Planifier, budgéter et maîtriser les risques;10;4;0;8
2A;ADOC;Ch.10;Gestion de projet ADOC : planning, budget, risques et preuves;10.3;Constituer les preuves et piloter l’avancement;10;3;0;7
2A;ADOC;Ch.11;Évaluer l’action commerciale et proposer des axes d’amélioration;11.1;Mesurer les résultats d’une action;10;3;0;5
2A;ADOC;Ch.11;Évaluer l’action commerciale et proposer des axes d’amélioration;11.2;Analyser écarts et causes;10;4;0;8
2A;ADOC;Ch.11;Évaluer l’action commerciale et proposer des axes d’amélioration;11.3;Proposer des axes d’amélioration argumentés;10;3;0;7
2A;ADOC;Ch.12;Dossier et oral E6 : convaincre sans réciter;12.1;Structurer le dossier E6;10;2;0;5
2A;ADOC;Ch.12;Dossier et oral E6 : convaincre sans réciter;12.2;Construire un support oral efficace;10;2;0;8
2A;ADOC;Ch.12;Dossier et oral E6 : convaincre sans réciter;12.3;Soutenir l’oral et répondre aux questions du jury;10;3;0;7
2A;ADOC;Ch.13;Cas complet ADOC : diagnostic → action → bilan;13.1;Réaliser le diagnostic d’un cas complet;10;3;0;5
2A;ADOC;Ch.13;Cas complet ADOC : diagnostic → action → bilan;13.2;Construire et justifier l’action;10;5;0;8
2A;ADOC;Ch.13;Cas complet ADOC : diagnostic → action → bilan;13.3;Évaluer le bilan et formuler la recommandation;10;4;0;8
1A;GO;Ch.1;Comprendre la GO et l’épreuve E7/U7;1.1;Comprendre le rôle de la gestion opérationnelle;10;4;0;6
1A;GO;Ch.1;Comprendre la GO et l’épreuve E7/U7;1.2;Comprendre la logique de l’épreuve E7;10;2;0;7
